Year,Month,Amounts of tourists,CNY/JPY,Average temperature,Shopping month,Consumption rate
2010,January,"92,120",13.2228,44,0,0.05
2010,February,"121,494",13.0185,43,0,0.05
2010,March,"123,314",13.6927,48,0,0.05
2010,April,"150,788",13.7483,54,0,0.05
2010,May,"112,558",13.3629,65,1,0.05
2010,June,"103,706",13.0366,73,0,0.05
2010,July,"164,944",12.765,81,0,0.05
2010,August,"171,503",12.3635,85,0,0.05
2010,September,"137,333",12.4735,77,0,0.05
2010,October,"106,237",12.0518,66,1,0.05
2010,November,"68,385",12.5528,56,0,0.05
2010,December,"60,493",12.3229,50,1,0.05
2011,January,"99,131",12.427,41,0,0.05
2011,February,"105,362",12.4444,45,0,0.05
2011,March,"62,450",12.7012,46,0,0.05
2011,April,"76,164",12.5143,58,0,0.05
2011,May,"58,608",12.5851,65,1,0.05
2011,June,"61,419",12.4578,72,0,0.05
2011,July,"86,963",11.924,81,0,0.05
2011,August,"102,640",12.0144,82,0,0.05
2011,September,"112,493",12.0749,77,0,0.05
2011,October,"106,174",12.3041,67,1,0.05
2011,November,"92,154",12.1584,58,0,0.05
2011,December,"79,688",12.2268,45,1,0.05
2012,January,"136,665",12.0859,41,0,0.05
2012,February,"81,966",12.8951,41,0,0.05
2012,March,"129,302",13.1494,47,0,0.05
2012,April,"148,793",12.646,57,0,0.05
2012,May,"112,152",12.3045,66,1,0.05
2012,June,"125,983",12.5605,69,0,0.05
2012,July,"204,270",12.2785,78,0,0.05
2012,August,"190,254",12.347,84,0,0.05
2012,September,"121,673",12.3987,79,0,0.05
2012,October,"69,713",12.7949,66,1,0.05
2012,November,"51,993",13.2422,55,0,0.05
2012,December,"52,336",13.9247,45,1,0.05
2013,January,"72,301",14.7945,42,0,0.05
2013,February,"80,903",14.8833,43,0,0.05
2013,March,"102,265",15.1703,53,0,0.05
2013,April,"100,160",15.8029,58,0,0.05
2013,May,"81,571",16.3797,66,1,0.05
2013,June,"98,996",16.152,72,0,0.05
2013,July,"139,905",15.9695,80,0,0.05
2013,August,"162,288",16.0414,84,0,0.05
2013,September,"156,201",16.0467,76,0,0.05
2013,October,"121,335",16.1383,67,1,0.05
2013,November,"101,940",16.813,56,0,0.05
2013,December,"96,572",17.3961,47,1,0.05
2014,January,"155,605",16.8348,43,0,0.05
2014,February,"138,236",16.567,43,0,0.05
2014,March,"184,064",16.6015,50,0,0.05
2014,April,"190,558",16.3372,58,0,0.08
2014,May,"165,784",16.2911,68,1,0.08
2014,June,"173,046",16.3328,73,0,0.08
2014,July,"281,309",16.6497,79,0,0.08
2014,August,"253,802",16.9411,81,0,0.08
2014,September,"246,105",17.8635,73,0,0.08
2014,October,"223,214",18.3758,66,1,0.08
2014,November,"207,462",19.3126,57,0,0.08
2014,December,"189,973",19.2867,46,1,0.08
2015,January,"226,214",18.7928,43,0,0.08
2015,February,"359,080",19.0666,43,0,0.08
2015,March,"338,121",19.3782,51,0,0.08
2015,April,"405,731",19.2437,58,0,0.08
2015,May,"387,170",20.0289,70,1,0.08
2015,June,"462,248",19.7546,72,0,0.08
2015,July,"576,868",19.959,79,0,0.08
2015,August,"591,510",19.0115,81,0,0.08
2015,September,"491,201",18.8553,74,0,0.08
2015,October,"445,562",19.092,66,1,0.08
2015,November,"362,950",19.24,58,0,0.08
2015,December,"347,304",18.5289,51,1,0.08
2016,January,"475,115",18.4084,44,0,0.08
2016,February,"498,903",17.1941,46,0,0.08
2016,March,"498,053",17.4762,51,0,0.08
2016,April,"514,866",16.4294,60,0,0.08
2016,May,"507,095",16.8178,68,1,0.08
2016,June,"582,452",15.5368,72,0,0.08
2016,July,"731,386",15.3788,78,0,0.08
2016,August,"676,966",15.4844,82,0,0.08
2016,September,"522,302",15.1905,77,0,0.08
2016,October,"506,162",15.4697,67,1,0.08
2016,November,"432,802",16.6208,54,0,0.08
2016,December,"427,462",16.8316,50,1,0.08
2017,January,"630,570",16.3922,44,0,0.08
2017,February,"509,090",16.4216,45,0,0.08
2017,March,"508,979",16.1745,48,0,0.08
2017,April,"528,781",16.1812,59,0,0.08
2017,May,"517,038",16.2664,68,1,0.08
2017,June,"587,193",16.573,72,0,0.08
2017,July,"780,771",16.391,81,0,0.08
2017,August,"819,855",16.6884,80,0,0.08
2017,September,"678,313",16.9072,74,0,0.08
2017,October,"663,815",17.1269,64,1,0.08
2017,November,"567,149",17.0179,56,0,0.08
2017,December,"564,264",17.3184,46,1,0.08
2018,January,"632,304",17.365,42,0,0.08
2018,February,"716,333",16.8495,43,0,0.08
2018,March,"594,920",16.9354,53,0,0.08
2018,April,"683,377",17.2636,63,0,0.08
2018,May,"668,600",16.9758,68,1,0.08
2018,June,"760,949",16.7165,72,0,0.08
2018,July,"879,097",16.4215,83,0,0.08
2018,August,"860,121",16.257,84,0,0.08
2018,September,"652,740",16.5523,74,0,0.08
2018,October,"715,255",16.1913,68,1,0.08
2018,November,"617,252",16.3027,58,0,0.08
2018,December,"599,100",15.93,49,1,0.08
